Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,TAMIL NADU,303,TIRUNELVELI,GEN,67.75,PRABAKARAN K.R.P,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,371,TIRUPATI,SC,77.04,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,TAMIL NADU,339,TIRUPPUR,GEN,76.34,V. SATHYABAMA,AIADMK
Lok Sabha,2014,TAMIL NADU,363,TIRUVALLUR,SC,73.67,DR. VENUGOPAL P.,AIADMK
Lok Sabha,2014,TAMIL NADU,347,TIRUVANNAMALAI,GEN,78.9,VANAROJA R.,AIADMK
Lok Sabha,2014,RAJASTHAN,692,TONK-SAWAI MADHOPUR,GEN,60.97,SUKHBIR SINGH JANAPURIA,BJP
Lok Sabha,2014,TRIPURA,588,TRIPURA EAST,ST,83.41,JITENDRA CHOUDHURY,CPI(M)
Lok Sabha,2014,TRIPURA,580,TRIPURA WEST,GEN,85.92,SHANKAR PRASAD DATTA,CPI(M)
Lok Sabha,2014,KARNATAKA,368,TUMKUR,GEN,72.54,S.P. MUDDAHANUMEGOWDA,INC
Lok Sabha,2014,MEGHALAYA,655,TURA,ST,78.1,PURNO AGITOK SANGMA,NPP
Lok Sabha,2014,RAJASTHAN,607,UDAIPUR,ST,65.63,ARJUNLAL MEENA,BJP
Lok Sabha,2014,JAMMU & KASHMIR,824,UDHAMPUR,GEN,69.91,DR. JITENDRA SINGH,BJP
Lok Sabha,2014,KARNATAKA,367,UDUPI CHIKMAGALUR,GEN,74.54,SHOBHA KARANDLAJE,BJP
Lok Sabha,2014,BIHAR,649,UJIARPUR,GEN,60.13,NITYANAND RAI,BJP
Lok Sabha,2014,MADHYA PRADESH,573,UJJAIN,SC,66.63,CHINTAMANI MALVIYA,BJP
Lok Sabha,2014,WEST BENGAL,528,ULUBERIA,GEN,81.87,SULTAN AHMED,AITC
Lok Sabha,2014,UTTAR PRADESH,713,UNNAO,GEN,55.52,SWAMI SACHCHIANAND HARI SAKSHI,BJP
Lok Sabha,2014,KARNATAKA,385,UTTARA KANNADA,GEN,69.01,ANANTH KUMAR HEGDE,BJP
