Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Vidhan Sabha,2015,Bihar,146,Begusarai,GEN,1,AMITA BHUSHAN,Grand Alliance,49.21
Vidhan Sabha,2015,Bihar,147,Bakhri,SC,1,UPENDRA PASWAN,Grand Alliance,49.26
Vidhan Sabha,2015,Bihar,148,Alauli,SC,1,CHANDAN KUMAR,Grand Alliance,51.57
Vidhan Sabha,2015,Bihar,149,Khagaria,GEN,1,POONAM DEVI YADAV,Grand Alliance,46.43
Vidhan Sabha,2015,Bihar,150,Beldaur,GEN,1,PANNA LAL SINGH PATEL,Grand Alliance,37.81
Vidhan Sabha,2015,Bihar,151,Parbatta,GEN,1,RAMANAD PRASAD SINGH,Grand Alliance,45.06
Vidhan Sabha,2015,Bihar,152,Bihpur,GEN,1,VARSHA RANI,Grand Alliance,48.39
Vidhan Sabha,2015,Bihar,153,Gopalpur,GEN,1,NARENDRA KUMAR NIRAJ,Grand Alliance,41.35
Vidhan Sabha,2015,Bihar,154,Pirpainti,SC,1,RAM VILASH PASWAN,Grand Alliance,45.2
Vidhan Sabha,2015,Bihar,155,Kahalgaon,GEN,1,SADANAND SINGH,Grand Alliance,36.68
Vidhan Sabha,2015,Bihar,156,Bhagalpur,GEN,1,AJEET SHARMA,Grand Alliance,46.24
Vidhan Sabha,2015,Bihar,157,Sultanganj,GEN,1,SUBODH ROY,Grand Alliance,40.94
Vidhan Sabha,2015,Bihar,158,Nathnagar,GEN,1,AJAY KUMAR MANDAL,Grand Alliance,39.16
Vidhan Sabha,2015,Bihar,159,Amarpur,GEN,1,JANARDAN MANJHI,Grand Alliance,47.88
Vidhan Sabha,2015,Bihar,160,Dhauraiya,SC,1,MANISH KUMAR,Grand Alliance,44.41
Vidhan Sabha,2015,Bihar,161,Banka,GEN,2,ZAFRUL HODA,Grand Alliance,35.63
Vidhan Sabha,2015,Bihar,162,Katoria,ST,1,SWEETY SIMA HEMBRAM,Grand Alliance,41.35
Vidhan Sabha,2015,Bihar,163,Belhar,GEN,1,GIRIDHARI YADAV,Grand Alliance,44.59
Vidhan Sabha,2015,Bihar,164,Tarapur,GEN,1,M L  CHOUDHARY,Grand Alliance,43.62
Vidhan Sabha,2015,Bihar,165,Munger,GEN,1,VIJAY KUMAR 'VIJAY',Grand Alliance,45.63
Vidhan Sabha,2015,Bihar,166,Jamalpur,GEN,1,SHAILESH KUMAR,Grand Alliance,45.68
Vidhan Sabha,2015,Bihar,167,Suryagarha,GEN,1,PRAHLAD YADAV,Grand Alliance,50.2
Vidhan Sabha,2015,Bihar,168,Lakhisarai,GEN,2,RAMANAND MANDAL,Grand Alliance,37.27
Vidhan Sabha,2015,Bihar,169,Sheikhpura,GEN,1,RANDHIR KUMAR SONI,Grand Alliance,32.86
Vidhan Sabha,2015,Bihar,170,Barbigha,GEN,1,SUDARSHAN KUMAR,Grand Alliance,41.67
Vidhan Sabha,2015,Bihar,171,Asthawan,GEN,1,JITENDRA KUMAR,Grand Alliance,44.29
Vidhan Sabha,2015,Bihar,172,Biharsharif,GEN,2,MOHAMMAD ASGHAR SHAMIM,Grand Alliance,41.42
Vidhan Sabha,2015,Bihar,173,Rajgir,SC,1,RAVI  JYOTI KUMAR,Grand Alliance,41.75
Vidhan Sabha,2015,Bihar,174,Islampur,GEN,1,CHANDRASEN PRASAD,Grand Alliance,46.4
Vidhan Sabha,2015,Bihar,175,Hilsa,GEN,1,ATRI MUNI URPH SHAKTI SINGH YADAV,Grand Alliance,48.39
Vidhan Sabha,2015,Bihar,176,Nalanda,GEN,1,SHRAWON KUMAR,Grand Alliance,44.78
Vidhan Sabha,2015,Bihar,177,Harnaut,GEN,1,HARI NARAYAN SINGH,Grand Alliance,45.91
Vidhan Sabha,2015,Bihar,178,Mokama,GEN,2,NEERAJ KUMAR,Grand Alliance,24.66
Vidhan Sabha,2015,Bihar,179,Barh,GEN,2,MANOJ KUMAR,Grand Alliance,38.64
Vidhan Sabha,2015,Bihar,180,Bakhtiarpur,GEN,2,ANIRUDDH KUMAR,Grand Alliance,34.95
Vidhan Sabha,2015,Bihar,181,Digha,GEN,2,RAJEEV RANJAN PRASAD,Grand Alliance,37.17
Vidhan Sabha,2015,Bihar,182,Bankipur,GEN,2,KUMAR ASHISH,Grand Alliance,32.6
Vidhan Sabha,2015,Bihar,183,Kumhrar,GEN,2,AQUIL HAIDER,Grand Alliance,32.37
Vidhan Sabha,2015,Bihar,184,Patna Sahib,GEN,2,SANTOSH MEHTA,Grand Alliance,45.4
Vidhan Sabha,2015,Bihar,185,Fatuha,GEN,1,DR. RAMA NAND YADAV,Grand Alliance,50.51
Vidhan Sabha,2015,Bihar,186,Danapur,GEN,2,RAJ KISHOR YADAV,Grand Alliance,40.11
Vidhan Sabha,2015,Bihar,187,Maner,GEN,1,BHAI VIRENDRA,Grand Alliance,50.05
Vidhan Sabha,2015,Bihar,188,Phulwari,SC,1,SHYAM RAJAK,Grand Alliance,49.77
Vidhan Sabha,2015,Bihar,189,Masaurhi,SC,1,REKHA DEVI (VILL- PABHEDA),Grand Alliance,48.26
Vidhan Sabha,2015,Bihar,190,Paliganj,GEN,1,JAY VARDHAN YADAV ALIAS BACHCHA YADAV,Grand Alliance,45.08
Vidhan Sabha,2015,Bihar,191,Bikram,GEN,1,SIDDHARTH,Grand Alliance,54.44
Vidhan Sabha,2015,Bihar,192,Sandesh,GEN,1,ARUN KUMAR,Grand Alliance,49.79
Vidhan Sabha,2015,Bihar,193,Barhara,GEN,1,SAROJ YADAV,Grand Alliance,44.34
Vidhan Sabha,2015,Bihar,194,Arrah,GEN,1,MOHAMMAD NAWAZ ALAM,Grand Alliance,44.94
Vidhan Sabha,2015,Bihar,195,Agiaon,SC,1,PRABHUNATH PRASAD,Grand Alliance,40.03
Vidhan Sabha,2015,Bihar,196,Tarari,GEN,3,AKHILESH PRASAD SINGH,Grand Alliance,26.77
Vidhan Sabha,2015,Bihar,197,Jagdishpur,GEN,1,RAM VISHUN SINGH,Grand Alliance,33.82
Vidhan Sabha,2015,Bihar,198,Shahpur,GEN,1,RAHUL TIWARY,Grand Alliance,47.76
Vidhan Sabha,2015,Bihar,199,Brahampur,GEN,1,SHAMBHU NATH YADAV,Grand Alliance,52
Vidhan Sabha,2015,Bihar,200,Buxar,GEN,1,SANJAY KUMAR TIWARI ALIAS MUNNA TIWARI,Grand Alliance,41.43
Vidhan Sabha,2015,Bihar,201,Dumraon,GEN,1,DADAN YADAV,Grand Alliance,47.9
Vidhan Sabha,2015,Bihar,202,Rajpur,SC,1,SANTOSH KUMAR NIRALA,Grand Alliance,47.96
Vidhan Sabha,2015,Bihar,203,Ramgarh,GEN,2,AMBIKA SINGH,Grand Alliance,32.01
Vidhan Sabha,2015,Bihar,204,Mohania,SC,2,SANJAY KUMAR,Grand Alliance,37.93
Vidhan Sabha,2015,Bihar,205,Bhabua,GEN,2,DOCTOR PRAMOD KUMAR SINGH,Grand Alliance,29.32
Vidhan Sabha,2015,Bihar,206,Chainpur,GEN,3,MAHABALI SINGH,Grand Alliance,17.05
Vidhan Sabha,2015,Bihar,207,Chenari,SC,2,MANGAL RAM,Grand Alliance,38.64
Vidhan Sabha,2015,Bihar,208,Sasaram,GEN,1,ASHOK KUMAR,Grand Alliance,47.56
Vidhan Sabha,2015,Bihar,209,Kargahar,GEN,1,BASHISHT SINGH,Grand Alliance,32.08
Vidhan Sabha,2015,Bihar,210,Dinara,GEN,1,JAI KUMAR SINGH,Grand Alliance,42.98
Vidhan Sabha,2015,Bihar,211,Nokha,GEN,1,ANITA DEVI,Grand Alliance,51.62
Vidhan Sabha,2015,Bihar,212,Dehri,GEN,1,MOHAMMAD ILIYAS HUSSAIN,Grand Alliance,33.92
Vidhan Sabha,2015,Bihar,213,Karakat,GEN,1,SANJAY KUMAR SINGH,Grand Alliance,38.99
Vidhan Sabha,2015,Bihar,214,Arwal,GEN,1,RAVINDRA SINGH,Grand Alliance,42.62
Vidhan Sabha,2015,Bihar,215,Kurtha,GEN,1,SATYADEO SINGH,Grand Alliance,37.79
Vidhan Sabha,2015,Bihar,216,Jahanabad,GEN,1,MUNDRIKA SINGH YADAV,Grand Alliance,50.87
Vidhan Sabha,2015,Bihar,217,Ghosi,GEN,1,KRISHAN NANDAN PRASAD VERMA,Grand Alliance,47.58
Vidhan Sabha,2015,Bihar,218,Makhadumapur,SC,1,SUBEDAR DAS,Grand Alliance,51.16
Vidhan Sabha,2015,Bihar,219,Goh,GEN,2,DOCTOR RANVIJAY KUMAR,Grand Alliance,30.03
Vidhan Sabha,2015,Bihar,220,Obra,GEN,1,BIRENDRA KUMAR SINHA,Grand Alliance,34.86
Vidhan Sabha,2015,Bihar,221,Nabinagar,GEN,1,VIRENDRA KUMAR SINGH,Grand Alliance,31.06
Vidhan Sabha,2015,Bihar,222,Kutumba,SC,1,RAJESH KUMAR,Grand Alliance,42.74
Vidhan Sabha,2015,Bihar,223,Aurangabad,GEN,1,ANAND SHANKAR SINGH,Grand Alliance,41.7
Vidhan Sabha,2015,Bihar,224,Rafiganj,GEN,1,ASHOK KUMAR SINGH,Grand Alliance,39.47
Vidhan Sabha,2015,Bihar,225,Gurua,GEN,2,RAMCHANDRA PRASAD SINGH,Grand Alliance,34.8
Vidhan Sabha,2015,Bihar,226,Sherghati,GEN,1,VINOD PRASAD YADAV,Grand Alliance,30.11
Vidhan Sabha,2015,Bihar,227,Imamganj,SC,2,UDAY NARAIN CHOUDHARY,Grand Alliance,33.28
Vidhan Sabha,2015,Bihar,228,Barachatti,SC,1,SAMTA DEVI,Grand Alliance,45.42
Vidhan Sabha,2015,Bihar,229,Bodh Gaya,SC,1,KUMAR SARVJEET,Grand Alliance,49.98
Vidhan Sabha,2015,Bihar,230,Gaya Town,GEN,2,PRIYA RANJAN,Grand Alliance,34.16
Vidhan Sabha,2015,Bihar,231,Tikari,GEN,1,ABHAY KUMAR SINHA,Grand Alliance,51.52
Vidhan Sabha,2015,Bihar,232,Belaganj,GEN,1,SURENDRA PRASAD YADAV,Grand Alliance,49.38
Vidhan Sabha,2015,Bihar,233,Atri,GEN,1,KUNTI DEVI,Grand Alliance,38.96
Vidhan Sabha,2015,Bihar,234,Wazirganj,GEN,1,AWADHESH KUMAR SINGH,Grand Alliance,47.36
Vidhan Sabha,2015,Bihar,235,Rajauli,SC,1,PRAKASH VEER,Grand Alliance,45.81
Vidhan Sabha,2015,Bihar,236,Hisua,GEN,2,KAUSHAL YADAV,Grand Alliance,38.13
Vidhan Sabha,2015,Bihar,237,Nawada,GEN,1,RAJBALLABH PRASAD,Grand Alliance,50.12
