Type of election,Year,State,Constituency no12,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,MAHARASHTRA,204,482,JALGAON,GEN,57.98,ASHOK TAPIRAM PATIL,BJP
Lok Sabha,2014,MAHARASHTRA,206,470,JALNA,GEN,66.14,DANVE RAOSAHEB DADARAO PATIL,BJP
Lok Sabha,2014,RAJASTHAN,408,643,JALORE,GEN,59.58,DEVJI PATEL,BJP
Lok Sabha,2014,WEST BENGAL,359,706,JALPAIGURI,SC,85.02,BIJOY CHANDRA BARMAN,AITC
Lok Sabha,2014,JAMMU & KASHMIR,41,823,JAMMU,GEN,67.83,JUGAL KISHORE SHARMA,BJP
Lok Sabha,2014,GUJARAT,277,538,JAMNAGAR,GEN,57.97,MADAM POONAMBEN HEMATBHAI,BJP
Lok Sabha,2014,JHARKHAND,263,541,JAMSHEDPUR,GEN,66.33,BIDYUT BARAN MAHATO,BJP
Lok Sabha,2014,BIHAR,40,612,JAMUI,SC,50.01,CHIRAG KUMAR PASWAN,LJP
Lok Sabha,2014,WEST BENGAL,434,595,JANGIPUR,GEN,80.41,ABHIJIT MUKHERJEE,INC
Lok Sabha,2014,CHHATTISGARH,108,509,JANJGIR-CHAMPA,SC,61.77,KAMLA PATLE,BJP
Lok Sabha,2014,UTTAR PRADESH,255,662,JAUNPUR,GEN,54.47,KRISHNA PRATAP,BJP
Lok Sabha,2014,WEST BENGAL,531,29,JAYNAGAR,SC,68.65,PRATIMA MONDAL,AITC
Lok Sabha,2014,RAJASTHAN,415,623,JHALAWAR-BARAN,GEN,57.02,DUSHYANT CHAUTALA,BJP
Lok Sabha,2014,BIHAR,179,691,JHANJHARPUR,GEN,68.36,BIRENDRA KUMAR CHAUDHARY,BJP
Lok Sabha,2014,UTTAR PRADESH,352,636,JHANSI,GEN,85.26,UMA BHARTI,BJP
Lok Sabha,2014,WEST BENGAL,366,546,JHARGRAM,ST,59.32,UMA SAREN,AITC
Lok Sabha,2014,RAJASTHAN,394,761,JHUNJHUNU,GEN,62.44,SANTOSH AHLAWAT,BJP
Lok Sabha,2014,RAJASTHAN,406,746,JODHPUR,GEN,75.45,GAJENDRA SINGH SHEKHAWAT ,BJP
Lok Sabha,2014,ASSAM,170,722,JORHAT,GEN,81.31,KAMAKHYA PRASAD TASA,BJP
Lok Sabha,2014,GUJARAT,278,495,JUNAGADH,GEN,63.37,CHUDASAMA RAJESHBHAI NARANBHAI,BJP
Lok Sabha,2014,GUJARAT,266,161,KACHCHH,SC,61.69,CHAVDA VINOD LAKHMASHI,BJP
Lok Sabha,2014,ANDHRA PRADESH,157,376,KADAPA,GEN,77.43,AVINASH REDDY YEDUGURI SANDINTI,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,UTTAR PRADESH,416,797,KAIRANA,GEN,73.07,HUKUM SINGH ,BJP
Lok Sabha,2014,UTTAR PRADESH,249,731,KAISERGANJ,GEN,55.1,BRIJBHUSHAN SHARAN SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,142,410,KAKINADA,GEN,77.56,THOTA VENKATA NARASIMHAM,TDP
Lok Sabha,2014,ORISSA,84,477,KALAHANDI,GEN,75.81,ARKA KESHARI DEO,BJD
Lok Sabha,2014,ASSAM,169,697,KALIABOR,GEN,80.01,GOURAV GOGOI,INC
Lok Sabha,2014,TAMIL NADU,486,342,KALLAKURICHI,GEN,78.39,K. KAMARAJ,AIADMK
Lok Sabha,2014,MAHARASHTRA,333,447,KALYAN,GEN,42.88,DR. SHRIKANT EKNATH SHINDE,SHS
Lok Sabha,2014,TAMIL NADU,478,351,KANCHEEPURAM,SC,76.24,MARAGATHAM K,AIADMK
Lok Sabha,2014,ORISSA,86,475,KANDHAMAL,GEN,73.4,HEMENDRA CHANDRA SINGH,BJD
Lok Sabha,2014,HIMACHAL PRADESH,458,821,KANGRA,GEN,63.52,SHANTA KUMAR,BJP
Lok Sabha,2014,CHHATTISGARH,116,476,KANKER,ST,70.24,VIKRAM USENDI,BJP
Lok Sabha,2014,UTTAR PRADESH,433,721,KANNAUJ,GEN,61.61,DIMPLE YADAV,SP
Lok Sabha,2014,TAMIL NADU,511,300,KANNIYAKUMARI,GEN,67.5,RADHAKRISHNAN P.,BJP
Lok Sabha,2014,KERALA,43,343,KANNUR,GEN,80.93,P.K. SREEMATHI,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,349,678,KANPUR,GEN,51.83,DR. MURLI MANOHAR JOSHI,BJP
Lok Sabha,2014,WEST BENGAL,445,506,KANTHI,GEN,86.61,SISIR KUMAR ADHIKARI,AITC
Lok Sabha,2014,BIHAR,35,617,KARAKAT,GEN,50.31,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party
Lok Sabha,2014,RAJASTHAN,400,709,KARAULI-DHOLPUR,SC,54.59,MANOJ RAJORIA,BJP
Lok Sabha,2014,ASSAM,25,602,KARIMGANJ,SC,76.07,RADHESHYAM BISWAS,AIUDF
Lok Sabha,2014,ANDHRA PRADESH,3,433,KARIMNAGAR,GEN,72.59,VINOD KUMAR BOINAPALLY,TRS
Lok Sabha,2014,HARYANA,380,796,KARNAL,GEN,70.86,ASHWINI KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,495,327,KARUR,GEN,80.61,THAMBITHURAI M.,AIADMK
Lok Sabha,2014,KERALA,42,154,KASARAGOD,GEN,78.33,P. KARUNAKARAN,CPI(M)
Lok Sabha,2014,BIHAR,306,647,KATIHAR,GEN,67.6,SHAH TARIQUE ANWAR,NCP
Lok Sabha,2014,UTTAR PRADESH,244,652,KAUSHAMBI,SC,52.33,VINOD KUMAR SONKAR,BJP
Lok Sabha,2014,ORISSA,234,474,KENDRAPARA,GEN,73.36,SRI BAIJAYANT PANDA,BJD
Lok Sabha,2014,ORISSA,227,505,KEONJHAR,ST,80.48,SAKUNTALA LAGURI,BJD
Lok Sabha,2014,PUNJAB,466,816,KHADOOR SAHIB,GEN,66.56,RANJIT SINGH BRAHMPURA,SAD
Lok Sabha,2014,BIHAR,310,648,KHAGARIA,GEN,60.07,CHOUDHARY MAHBOOB ALI KAISER,LJP
Lok Sabha,2014,MADHYA PRADESH,189,133,KHAJURAHO,GEN,51.36,NAGENDRA SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,17,416,KHAMMAM,GEN,82.13,PONGULETI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,MADHYA PRADESH,330,529,KHANDWA,GEN,71.46,NANDKUMAR SINGH CHOUHAN,BJP
Lok Sabha,2014,MADHYA PRADESH,329,511,KHARGONE,ST,67.67,SUBHASH PATEL,BJP
Lok Sabha,2014,GUJARAT,282,547,KHEDA,GEN,59.76,CHAUHAN DEVUSINH JESINGBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,524,769,KHERI,GEN,64.18,AJAY KUMAR MISHRA,BJP
Lok Sabha,2014,JHARKHAND,119,552,KHUNTI,ST,66.28,KARIYA MUNDA,BJP
Lok Sabha,2014,BIHAR,305,681,KISHANGANJ,GEN,64.52,MOHAMMAD ASRARUL HAQUE,INC
Lok Sabha,2014,JHARKHAND,118,601,KODARMA,GEN,62.51,RAVINDRA KUMAR RAY,BJP
Lok Sabha,2014,ASSAM,163,702,KOKRAJHAR,ST,81.29,NABA KUMAR SARANIA,IND
Lok Sabha,2014,KARNATAKA,141,364,KOLAR,SC,75.51,K.H. MUNIYAPPA,INC
Lok Sabha,2014,MAHARASHTRA,225,394,KOLHAPUR,GEN,71.68,DHANANJAY BHIMRAO MAHADIK,NCP
Lok Sabha,2014,WEST BENGAL,535,518,KOLKATA DAKSHIN ,GEN,69.3,SUBRATA BAKSHI,AITC
Lok Sabha,2014,WEST BENGAL,536,524,KOLKATA UTTAR,GEN,66.65,SUDIP BANDYOPADHYAY,AITC
Lok Sabha,2014,KERALA,59,304,KOLLAM,GEN,72.09,N.K. PREMACHANDRAN,Revolutionary Socialist Party
Lok Sabha,2014,KARNATAKA,131,387,KOPPAL,GEN,65.57,SANGANNA A. KARADI,BJP
Lok Sabha,2014,ORISSA,89,458,KORAPUT,ST,76.09,JHINA HIKAKA,BJD
Lok Sabha,2014,CHHATTISGARH,109,574,KORBA,GEN,74.16,DR. BANSHILAL MAHATO,BJP
Lok Sabha,2014,RAJASTHAN,414,646,KOTA,GEN,66.2,OM BIRLA,BJP
Lok Sabha,2014,KERALA,55,311,KOTTAYAM,GEN,71.6,JOSE K. MANI,Kerala Congress (M)
Lok Sabha,2014,KERALA,46,335,KOZHIKODE,GEN,79.75,M.K. RAGHAVAN,INC
Lok Sabha,2014,TAMIL NADU,481,350,KRISHNAGIRI,GEN,77.42,ASHOK KUMAR. K.,AIADMK
Lok Sabha,2014,WEST BENGAL,437,1,KRISHNANAGAR,GEN,84.5,TAPAS PAUL,AITC
Lok Sabha,2014,ANDHRA PRADESH,154,384,KURNOOL,GEN,71.92,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,HARYANA,377,798,KURUKSHETRA,GEN,75.8,RAJKUMAR SAINI,BJP
Lok Sabha,2014,UTTAR PRADESH,92,724,KUSHI NAGAR,GEN,56.54,RAJESH PANDEY ALIAS GUDDU,BJP
Lok Sabha,2014,JAMMU & KASHMIR,463,177,LADAKH,GEN,70.78,THUPSTAN CHHEWANG,BJP
Lok Sabha,2014,ASSAM,172,747,LAKHIMPUR,GEN,77.71,SARBANANDA SONOWAL,BJP
Lok Sabha,2014,LAKSHADWEEP,124,135,LAKSHADWEEP,ST,86.61,MOHAMMED FAIZAL P.P,NCP
Lok Sabha,2014,UTTAR PRADESH,95,673,LALGANJ,SC,54.09,NEELAM SONKAR,BJP
Lok Sabha,2014,MAHARASHTRA,219,438,LATUR,SC,62.83,GAIKWAD SUNIL BALIRAM,BJP
Lok Sabha,2014,JHARKHAND,120,564,LOHARDAGA,ST,58.21,SUDARSHAN BHAGAT,BJP
Lok Sabha,2014,UTTAR PRADESH,347,703,LUCKNOW,GEN,53.02,RAJNATH SINGH,BJP
Lok Sabha,2014,PUNJAB,470,807,LUDHIANA,GEN,70.49,RAVNEET SINGH BITTU,INC
Lok Sabha,2014,UTTAR PRADESH,100,644,MACHHLISHAHR,SC,52.74,RAM CHARITRA NISHAD,BJP
Lok Sabha,2014,ANDHRA PRADESH,147,392,MACHILIPATNAM,GEN,83.33,KONAKALLA NARAYANA RAO,TDP
Lok Sabha,2014,MAHARASHTRA,221,425,MADHA,GEN,62.5,MOHITE PATIL VIJAYSINH SHANKARRAO,NCP
Lok Sabha,2014,BIHAR,308,659,MADHEPURA,GEN,59.97,RAJESH RANJAN ALIAS PAPPU YADAV,RJD
Lok Sabha,2014,BIHAR,178,689,MADHUBANI,GEN,52.85,HUKUM DEO NARAYAN YADAV,BJP
Lok Sabha,2014,TAMIL NADU,504,315,MADURAI,GEN,67.87,R. GOPALAKRISHNAN,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,16,427,MAHABUBABAD,ST,81.04,PROF. AZMEERA SEETARAM NAIK,TRS
Lok Sabha,2014,BIHAR,30,729,MAHARAJGANJ,GEN,51.48,JANARDHAN SINGH SIGRIWAL,BJP
Lok Sabha,2014,UTTAR PRADESH,90,729,MAHARAJGANJ,GEN,51.48,PANKAJ CHAUDHARY,BJP
Lok Sabha,2014,CHHATTISGARH,114,490,MAHASAMUND,GEN,74.63,CHANDU LAL SAHU ALIAS CHANDU BHAIYA S/O LATE PUNEEN RAM,BJP
Lok Sabha,2014,ANDHRA PRADESH,11,402,MAHBUBNAGAR,GEN,71.53,A.P. JITENDER REDDY,TRS
Lok Sabha,2014,GUJARAT,269,571,MAHESANA,GEN,67.03,PATEL JAYSHREEBEN KANUBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,429,728,MAINPURI,GEN,60.45,MULAYAM SINGH YADAV,SP
Lok Sabha,2014,KERALA,47,330,MALAPPURAM,GEN,71.21,E. AHAMED,IUML
Lok Sabha,2014,WEST BENGAL,364,614,MALDAHA DAKSHIN,GEN,81.09,ABU HASEM KHAN CHOWDHURY,INC
Lok Sabha,2014,WEST BENGAL,363,627,MALDAHA UTTAR,GEN,81.59,MAUSAM NOOR,INC
Lok Sabha,2014,ANDHRA PRADESH,7,415,MALKAJGIRI,GEN,50.9,CH. MALLA REDDY,TDP
Lok Sabha,2014,HIMACHAL PRADESH,459,822,MANDI,GEN,63.12,RAM SWAROOP SHARMA,BJP
Lok Sabha,2014,MADHYA PRADESH,195,553,MANDLA,ST,66.79,FAGGAN SINGH KULASTE,BJP
Lok Sabha,2014,MADHYA PRADESH,325,603,MANDSOUR,GEN,71.4,SUDHIR GUPTA,BJP
Lok Sabha,2014,KARNATAKA,300,353,MANDYA,GEN,71.45,C.S. PUTTARAJU,JD(S)
Lok Sabha,2014,ASSAM,166,704,MANGALDOI,GEN,81.37,RAMEN DEKA,BJP
Lok Sabha,2014,UTTAR PRADESH,425,748,MATHURA,GEN,64.01,DEOL HEMA MALINI DHARMENDRA,BJP
Lok Sabha,2014,WEST BENGAL,532,3,MATHURAPUR,SC,85,CHOUDHURY MOHAN JATUA,AITC
Lok Sabha,2014,MAHARASHTRA,211,440,MAVAL,GEN,60.11,BARNE SHRIRANG CHANDU,SHS
Lok Sabha,2014,KERALA,57,308,MAVELIKKARA,SC,70.97,KODIKKUNNIL SURESH,INC
Lok Sabha,2014,TAMIL NADU,500,331,MAYILADUTHURAI,GEN,75.95,BHARATHI MOHAN R.K,AIADMK
Lok Sabha,2014,ORISSA,228,516,MAYURBHANJ,ST,79.35,RAMA CHANDRA HANSDAH,BJD
Lok Sabha,2014,ANDHRA PRADESH,6,422,MEDAK,GEN,77.51,KALVAKUNTLA CHANDRASHEKAR RAO,TRS
Lok Sabha,2014,WEST BENGAL,367,523,MEDINIPUR,GEN,84.02,SANDHYA ROY,AITC
Lok Sabha,2014,UTTAR PRADESH,418,781,MEERUT,GEN,63.1,RAJENDRA AGARWAL,BJP
Lok Sabha,2014,UTTAR PRADESH,104,615,MIRZAPUR,GEN,58.56,ANUPRIYA SINGH PATEL,Apna Dal
Lok Sabha,2014,UTTAR PRADESH,344,734,MISRIKH,SC,57.85,ANJU BALA,BJP
Lok Sabha,2014,MIZORAM,78,589,MIZORAM,ST,61.69,C. L. RUALA,INC
Lok Sabha,2014,UTTAR PRADESH,346,726,MOHANLALGANJ,SC,60.74,KAUSHAL KISHORE,BJP
Lok Sabha,2014,UTTAR PRADESH,515,793,MORADABAD,GEN,63.65,KUNWAR SARVESH KUMAR,BJP
Lok Sabha,2014,MADHYA PRADESH,315,698,MORENA,GEN,50.18,ANOOP MISHRA,BJP
Lok Sabha,2014,MAHARASHTRA,335,444,MUMBAI NORTH,GEN,53.06,GOPAL CHINAYYA SHETTY,BJP
Lok Sabha,2014,MAHARASHTRA,338,437,MUMBAI NORTH CENTRAL,GEN,48.61,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,BJP
Lok Sabha,2014,MAHARASHTRA,337,443,MUMBAI NORTH EAST,GEN,51.65,KIRIT SOMAIYA,BJP
Lok Sabha,2014,MAHARASHTRA,336,442,MUMBAI NORTH WEST,GEN,50.44,GAJANAN CHANDRAKANT KIRTIKAR,SHS
Lok Sabha,2014,MAHARASHTRA,340,434,MUMBAI SOUTH,GEN,52.54,SAWANT ARVIND GANPAT,SHS
Lok Sabha,2014,MAHARASHTRA,339,435,MUMBAI SOUTH CENTRAL,GEN,53.12,RAHUL RAMESH SHEWARE,SHS
Lok Sabha,2014,BIHAR,313,629,MUNGER,GEN,53.89,VEENA DEVI,LJP
Lok Sabha,2014,WEST BENGAL,436,585,MURSHIDABAD,GEN,85.16,BADARUDDOZA KHAN,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,417,791,MUZAFFARNAGAR,GEN,69.72,DR. SANJEEV KUMAR BALIYAN,BJP
Lok Sabha,2014,BIHAR,181,671,MUZAFFARPUR,GEN,61.16,AJAY NISHAD,BJP
Lok Sabha,2014,KARNATAKA,301,348,MYSORE,GEN,67.3,PRATHAP SIMHA,BJP
Lok Sabha,2014,ORISSA,85,461,NABARANGPUR,ST,78.8,BALABHADRA MAJHI,BJD
Lok Sabha,2014,NAGALAND,79,714,NAGALAND,GEN,87.82,NEIPHIU RIO,NPF
Lok Sabha,2014,TAMIL NADU,501,324,NAGAPATTINAM,SC,77.83,DR. K. GOPAL,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,12,400,NAGARKURNOOL,SC,75.07,NANDI YELLAIAH,INC
Lok Sabha,2014,RAJASTHAN,404,738,NAGAUR,GEN,59.81,C.R. CHOUDHARY,BJP
Lok Sabha,2014,UTTAR PRADESH,514,794,NAGINA,SC,63.09,YASHWANT SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,67,480,NAGPUR,GEN,57.08,NITIN JAIRAM GADKARI,BJP
Lok Sabha,2014,UTTARAKHAND,540,790,NAINITAL-UDHAMSINGH NAGAR,GEN,68.38,BHAGAT SINGH KOSHYARI,BJP
Lok Sabha,2014,BIHAR,373,624,NALANDA,GEN,47.22,KAUSHLENDRA KUMAR,JD(U)
Lok Sabha,2014,ANDHRA PRADESH,13,405,NALGONDA,GEN,79.53,GUTHA SUKENDER REDDY,INC
Lok Sabha,2014,TAMIL NADU,488,336,NAMAKKAL,GEN,79.63,SUNDARAM P.R.,AIADMK
Lok Sabha,2014,MAHARASHTRA,73,448,NANDED,GEN,60.07,ASHOKRAO SHANKARRAO CHAVAN,INC
Lok Sabha,2014,MAHARASHTRA,202,501,NANDURBAR,ST,66.76,DR. GAVIT HEENA VAIJAYKUMAR,BJP
Lok Sabha,2014,ANDHRA PRADESH,153,386,NANDYAL,GEN,76.4,S.P.Y. REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,ANDHRA PRADESH,150,395,NARASARAOPET,GEN,84.63,RAYAPATI SAMBASIVA RAO,TDP
Lok Sabha,2014,ANDHRA PRADESH,145,397,NARSAPURAM,GEN,82.18,GOKARAJU GANGA RAJU,BJP
Lok Sabha,2014,MAHARASHTRA,209,462,NASHIK,GEN,58.84,GODSE HEMENT TUKARAM,SHS
Lok Sabha,2014,GUJARAT,290,481,NAVSARI,GEN,65.78,CHANDRAKANT RAGHUNATH PATIL,BJP
Lok Sabha,2014,BIHAR,39,616,NAWADA,GEN,52.78,GIRIRAJ SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,158,378,NELLORE,GEN,73.94,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,454,766,NEW DELHI,GEN,65.08,MEENAKSHI LEKHI,BJP
Lok Sabha,2014,TAMIL NADU,491,337,NILGIRIS,SC,73.52,GOPALAKRISHNAN C.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,4,436,NIZAMABAD,GEN,69.1,KALVAKUNTLA KAVITHA,TRS
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,452,168,NORTH EAST DELHI,GEN,67.29,MANOJ TIWARI,BJP
Lok Sabha,2014,GOA,186,382,NORTH GOA,GEN,78.89,SHRIPAD YESSO NAIK,BJP
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,455,775,NORTH WEST DELHI,SC,61.79,UDIT RAJ,BJP
Lok Sabha,2014,ASSAM,168,679,NOWGONG,GEN,80.72,RAJEN GOHAIN,BJP
Lok Sabha,2014,ANDHRA PRADESH,152,389,ONGOLE,GEN,82.17,YARRAM VENKATA SUBBAREDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,MAHARASHTRA,218,430,OSMANABAD,GEN,64.75,GAIKWAD RAVINDRA VISHWANATH,SHS
Lok Sabha,2014,MANIPUR,75,635,OUTER MANIPUR,ST,83.98,THANGSO BAITE,INC
Lok Sabha,2014,KERALA,49,326,PALAKKAD,GEN,75.31,M.B. RAJESH,CPI(M)
Lok Sabha,2014,JHARKHAND,121,596,PALAMAU,SC,59.38,VISHNU DAYAL RAM,BJP
Lok Sabha,2014,MAHARASHTRA,331,464,PALGHAR,ST,62.9,WANAGA CHINTAMAN NAVASHA,BJP
Lok Sabha,2014,RAJASTHAN,405,705,PALI,GEN,57.87,P.P. CHOUDHARY,BJP
Lok Sabha,2014,GUJARAT,283,557,PANCHMAHAL,GEN,59.2,CHAUHAN PRABHATSINH PRATAPSINH,BJP
Lok Sabha,2014,MAHARASHTRA,74,455,PARBHANI,GEN,64.43,JADHAV SANJAY (BANDU) HARIBHAU,SHS
Lok Sabha,2014,BIHAR,174,711,PASCHIM CHAMPARAN,GEN,60.49,DR. SANJAY JAISWAL,BJP
Lok Sabha,2014,BIHAR,375,638,PATALIPUTRA,GEN,56.37,RAM KRIPAL YADAV,BJP
Lok Sabha,2014,GUJARAT,268,584,PATAN,GEN,58.69,LILADHARBHAI KHODAJI VAGHELA,BJP
Lok Sabha,2014,KERALA,58,306,PATHANAMTHITTA,GEN,65.67,ANTO ANTONY,INC
Lok Sabha,2014,PUNJAB,390,803,PATIALA,GEN,70.93,DR. DHARAM VIRA GANDHI,AAP
Lok Sabha,2014,BIHAR,374,633,PATNA SAHIB,GEN,45.33,SHATRUGHAN SINHA,BJP
Lok Sabha,2014,ANDHRA PRADESH,2,445,PEDDAPALLI,SC,71.71,BALKA SUMAN,TRS
Lok Sabha,2014,TAMIL NADU,497,333,PERAMBALUR,GEN,80.19,R.P. MARUTHARAJAA,AIADMK
Lok Sabha,2014,UTTAR PRADESH,245,641,PHULPUR,GEN,50.19,KESHAV PRASAD,BJP
Lok Sabha,2014,UTTAR PRADESH,522,776,PILIBHIT,GEN,62.86,MANEKA GANDHI,BJP
Lok Sabha,2014,TAMIL NADU,493,325,POLLACHI,GEN,73.3,MAHENDRAN C.,AIADMK
Lok Sabha,2014,PUDUCHERRY,543,120,PONDICHERRY,GEN,82.1,R. RADHAKRISHNAN,All India N.R. Congress
Lok Sabha,2014,KERALA,48,329,PONNANI,GEN,73.81,E.T. MUHAMMED BASHEER,IUML
Lok Sabha,2014,GUJARAT,276,504,PORBANDAR,GEN,52.59,VITTHALBHAI HANSRAJBHAI RADADIYA,BJP
Lok Sabha,2014,UTTAR PRADESH,242,661,PRATAPGARH,GEN,52.11,KUNWAR HARIVANSH SINGH,Apna Dal
Lok Sabha,2014,MAHARASHTRA,212,426,PUNE,GEN,54.1,ANIL SHIROLE,BJP
Lok Sabha,2014,ORISSA,236,463,PURI,GEN,74,PINAKI MISRA,BJD
Lok Sabha,2014,BIHAR,307,654,PURNIA,GEN,64.29,SANTOSH KUMAR GANGWAR,JD(U)
Lok Sabha,2014,WEST BENGAL,368,565,PURULIA,GEN,81.84,MRIGANKA MAHATO,AITC
Lok Sabha,2014,BIHAR,175,696,PURVI CHAMPARAN,GEN,56.62,RADHA MOHAN SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,348,684,RAE BARELI,GEN,51.73,SONIA GANDHI,INC
Lok Sabha,2014,KARNATAKA,129,396,RAICHUR,ST,58.31,B.V. NAYAK,INC
Lok Sabha,2014,MAHARASHTRA,210,432,RAIGAD,GEN,64.44,GEETE ANANT GANGARAM,SHS
Lok Sabha,2014,WEST BENGAL,361,667,RAIGANJ,GEN,79.87,MOHD. SALIM,CPI(M)
Lok Sabha,2014,CHHATTISGARH,107,549,RAIGARH,ST,77.6,VISHNU DEO SAI,BJP
Lok Sabha,2014,CHHATTISGARH,113,498,RAIPUR,GEN,65.69,RAMESH BAIS,BJP
Lok Sabha,2014,ANDHRA PRADESH,144,403,RAJAHMUNDRY,GEN,81.22,MURALI MOHAN MAGANTI,TDP
Lok Sabha,2014,ANDHRA PRADESH,160,370,RAJAMPET,GEN,77.87,P.V. MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,MADHYA PRADESH,322,594,RAJGARH,GEN,64.02,RODMAL NAGAR,BJP
Lok Sabha,2014,GUJARAT,275,539,RAJKOT,GEN,63.84,MOHANBHAI KALYANJIBHAI KUNDARIYA,BJP
Lok Sabha,2014,JHARKHAND,257,621,RAJMAHAL,ST,70.32,VIJAY KUMAR HANSDAK,JMM
Lok Sabha,2014,CHHATTISGARH,111,513,RAJNANDGAON,GEN,74.2,ABHISHEK SINGH,BJP
Lok Sabha,2014,RAJASTHAN,412,717,RAJSAMAND,GEN,57.79,HARI OM SINGH RATHORE,BJP
Lok Sabha,2014,TAMIL NADU,507,314,RAMANATHAPURAM,GEN,68.76,ANWHAR RAAJHAA. A,AIADMK
Lok Sabha,2014,UTTAR PRADESH,516,783,RAMPUR,GEN,59.15,DR. NEPAL SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,66,496,RAMTEK,SC,62.62,KRUPAL BALAJI TUMANE,SHS
Lok Sabha,2014,WEST BENGAL,438,560,RANAGHAT,SC,84.42,TAPAS MANDAL,AITC
Lok Sabha,2014,JHARKHAND,262,567,RANCHI,GEN,63.68,RAM TAHAL CHOUDHARY,BJP
Lok Sabha,2014,MADHYA PRADESH,326,561,RATLAM,ST,63.59,DILEEP SINGH BHURIA,BJP
Lok Sabha,2014,MAHARASHTRA,224,411,RATNAGIRI SINDHUDURG,GEN,65.55,VINAYAK BHAURAO RAUT,SHS
Lok Sabha,2014,MAHARASHTRA,205,485,RAVER,GEN,63.34,KHADASE RAKSHA NIKHIL,BJP
Lok Sabha,2014,MADHYA PRADESH,191,610,REWA,GEN,53.73,JANARDAN MISRA,BJP
Lok Sabha,2014,UTTAR PRADESH,105,613,ROBERTSGANJ,SC,54.03,CHHOTE LAL,BJP
Lok Sabha,2014,HARYANA,382,782,ROHTAK,GEN,66.62,DEEPENDER SINGH,INC
Lok Sabha,2014,GUJARAT,270,587,SABARKANTHA,GEN,67.7,DIPSINH SHANKARSINH RATHOD,BJP
Lok Sabha,2014,MADHYA PRADESH,319,586,SAGAR,GEN,58.67,LAXMI NARAYAN YADAV,BJP
Lok Sabha,2014,UTTAR PRADESH,512,800,SAHARANPUR,GEN,74.23,RAGHAV LAKHANPAL,BJP
Lok Sabha,2014,TAMIL NADU,487,341,SALEM,GEN,76.77,PANNERSELVAM V.,AIADMK
Lok Sabha,2014,UTTAR PRADESH,98,676,SALEMPUR,GEN,51.44,RAVINDRA KUSHWAHA,BJP
Lok Sabha,2014,BIHAR,185,657,SAMASTIPUR,SC,57.43,RAM CHANDRA PASWAN,LJP
Lok Sabha,2014,ORISSA,82,507,SAMBALPUR,GEN,75.89,NAGENDRA KUMAR PRADHAN,BJD
Lok Sabha,2014,UTTAR PRADESH,517,777,SAMBHAL,GEN,62.42,SATYA PAL SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,222,412,SANGLI,GEN,63.47,SANJAYKAKA PATIL,BJP
Lok Sabha,2014,PUNJAB,389,802,SANGRUR,GEN,77.17,BHAGWANT MANN,AAP
Lok Sabha,2014,UTTAR PRADESH,254,716,SANT KABIR NAGAR,GEN,53.12,SHARAD TRIPATHI,BJP
Lok Sabha,2014,BIHAR,31,656,SARAN,GEN,56.1,RAJIV PRATAP RUDY,BJP
Lok Sabha,2014,BIHAR,34,619,SASARAM,SC,52.67,CHHEDI PASWAN,BJP
Lok Sabha,2014,MAHARASHTRA,223,421,SATARA,GEN,56.78,SHRIMANT CHH. UDAYANRAJE PRATAPSINHA BHONSALE,NCP
Lok Sabha,2014,MADHYA PRADESH,190,609,SATNA,GEN,62.65,GANESH SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,8,407,SECUNDERABAD,GEN,53.01,BANDARU DATTATREYA,BJP
Lok Sabha,2014,MADHYA PRADESH,193,578,SHAHDOL,ST,62.03,DALPAT SINGH PARASTE,BJP
