"State","Year","","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent" 
"Bihar","1962","539",125,"ARARIA","GEN",85074,43734,4945,4,1,"M","IND",15245,"BALKRISHNA JHA","H",0.514070103674448,0.113069922714593  
"Bihar","1962","543",126,"PALASI","GEN",90176,32169,6449,3,1,"M","SWA",15626,"MOHAMMAD AZIMUDDIN","M",0.35673571682044,0.200472504585160  
"Bihar","1962","546",127,"BAHADURGANJ","GEN",75139,24432,2514,4,1,"M","INC",9345,"RAFIQ ALAM","M",0.325157374998336,0.102897838899804  
"Bihar","1962","550",128,"KISHANGANJ_2","GEN",86374,23911,4590,5,1,"M","SWA",10793,"MOHAMMAD HUSAIN AZAD","M",0.276830990807419,0.191961858558822  
"Bihar","1962","555",129,"AMOUR","GEN",97848,38420,5219,4,1,"M","INC",14097,"MOHAMMAD ALIJAN","M",0.392649824217153,0.135840707964602  
"Bihar","1962","559",130,"PURNIA","GEN",94477,43473,21085,3,1,"M","INC",28889,"KAMAL DEO NARAIN SINHA","H",0.460143738687723,0.485013686656085  
"Bihar","1962","562",131,"BAISI","GEN",81224,39393,12361,2,1,"M","PSP",24879,"HASIBUR RAHMAN","M",0.484992120555501,0.313786713375473  
"Bihar","1962","564",132,"KADWA","GEN",77016,35779,200,3,1,"M","INC",15911,"KAMALNATH JHA","H",0.464565804508154,0.00558987115346991  
"Bihar","1962","567",133,"AZAMNAGAR","ST",73272,20303,563,3,1,"M","PSP",8794,"NANDLAL MARANDI","H",0.277090839611311,0.0277298921341674  
"Bihar","1962","570",134,"KATIHAR","GEN",73868,34723,6996,8,1,"M","INC",13480,"SUKHDEO NARAIN SINGH","H",0.470068229815346,0.201480286841575  
"Bihar","1962","578",135,"BARARI","GEN",79056,32641,9145,8,1,"M","INC",14149,"BASUDEO PRASAD SINGH","H",0.412884537543007,0.280169112465917  
"Bihar","1962","586",136,"MANIHARI","GEN",66620,28076,10634,3,1,"M","PSP",18108," YUVARAJ","H",0.421435004503152,0.378757657786009  
"Bihar","1962","589",137,"RAJMAHAL","GEN",62513,34310,7480,6,1,"M","INC",19312,"BINODANAND JHA","H",0.548845840065266,0.218012241329059  
"Bihar","1962","595",138,"BORIO","ST",66423,22671,3619,3,1,"M","JP",11696,"SINGRAI MURMU","H",0.341312497177183,0.159631246967492  
"Bihar","1962","598",139,"BARHAIT","ST",62326,20884,6605,4,1,"M","JP",12284,"BABULAL TUDU","H",0.335076853961429,0.316270829343038  
"Bihar","1962","602",140,"LITIPARA","ST",53763,13885,5067,5,1,"M","JP",7302,"RAM CHARAN KISKU","H",0.258263117757566,0.364926179330212  
"Bihar","1962","607",141,"PAKAUR","GEN",78341,37968,1316,2,1,"M","JP",18429,"PRASUNANDU CHANDRA PANDEY","H",0.484650438467724,0.0346607669616519  
"Bihar","1962","609",142,"MAHESHPUR","ST",65955,19702,658,5,1,"M","SWA",7252,"JOSEPH MURMU","H",0.298718823440224,0.0333976246066389  
"Bihar","1962","614",143,"SIKARIPARA","ST",57574,20296,5862,6,1,"M","JP",10559,"BARIYAR HEMBROM","H",0.352520234828221,0.28882538431218  
"Bihar","1962","620",144,"RANESHWAR","ST",65674,18905,1641,6,1,"M","JP",8278,"BARKA BASKI","H",0.287861254073149,0.0868024332187252  
"Bihar","1962","626",145,"NALA","GEN",64536,21861,8082,3,1,"M","CPI",12287,"BISHESHWAR KHAN","M",0.338741167720342,0.369699464800329  
"Bihar","1962","629",146,"JAMTARA","GEN",75038,27928,2848,4,1,"M","SWA",9828,"KALI PRASAD SINGH","H",0.372184759721741,0.101976511028359  
"Bihar","1962","633",147,"SARATH","GEN",68940,36655,2595,5,1,"M","PSP",13829,"KAMDEO PRASAD SINGH","H",0.53169422686394,0.0707952530350566  
"Bihar","1962","638",148,"MADHUPUR","SC",73833,24212,3680,3,1,"M","SWA",12058,"CHHATU TURI","H",0.327929245730229,0.151990748389228  
"Bihar","1962","641",149,"DEOGHAR","GEN",69680,31068,2843,6,1,"F","INC",13543,"SHAILBALA ROY","H",0.445866819747417,0.0915089481138149  
"Bihar","1962","647",150,"JARMUNDI","GEN",71269,40673,1197,4,1,"M","INC",16958,"SRIKANT JHA","H",0.570696936957162,0.0294298428933199  
"Bihar","1962","651",151,"DUMKA","ST",73430,35044,3075,4,1,"M","JP",16927,"PAUL MURMU","H",0.477243633392346,0.0877468325533615  
"Bihar","1962","655",152,"RAMGARH (ST)","ST",64384,26093,2409,4,1,"M","JP",11741,"MADAN BESRA","H",0.405271496023857,0.0923236116966236  
"Bihar","1962","659",153,"POREYAHAT","ST",60832,27138,2472,5,1,"M","INC",12514,"JADUNANDAN MURMU","H",0.44611388742767,0.0910899845235463  
"Bihar","1962","664",154,"GODDA","GEN",61037,29073,3774,7,1,"M","INC",9484,"DEEP NARAIN CHAUDHARY","H",0.476317643396628,0.129811164998452  
"Bihar","1962","671",155,"MAHAGAMA","GEN",68986,33807,6042,6,1,"M","INC",14950,"RAJPATI RAM","H",0.490055953381846,0.17872038335256  
"Bihar","1962","677",156,"PIRPAINTI","GEN",69383,36823,1320,8,1,"M","INC",12955,"BAIKUNTH RAM","H",0.53072078174769,0.0358471607419276  
"Bihar","1962","685",157,"COLGONG","GEN",77871,38936,6547,6,1,"M","INC",17113,"SYED MAQBOOL AHMED","M",0.50000642087555,0.168147729607561  
"Bihar","1962","691",158,"BHAGALPUR MUFFASIL","SC",74779,22095,11357,4,1,"M","INC",14769,"BHOLANATH DAS","H",0.295470653525722,0.514007694048427  
"Bihar","1962","695",159,"BHAGALPUR","GEN",64035,35416,9030,5,1,"M","INC",17190,"SATYENDRA NARAYAN AGARWAL","H",0.553072538455532,0.254969505308335  
"Bihar","1962","700",160,"GOPALPUR","GEN",70742,38142,8167,3,1,"F","INC",20831,"MAYA DEVI","H",0.539170506912442,0.214120916574904  
"Bihar","1962","703",161,"BIHPUR","GEN",76661,41829,4859,4,1,"M","INC",16511,"SUKHADEO CHOUDHARY","H",0.545635981789958,0.116163427287289  
"Bihar","1962","707",162,"SULTANGANJ","GEN",80305,46554,13398,6,1,"M","INC",23397,"DEVI PRASAD MAHTO","H",0.579714837183239,0.287794818919964  
"Bihar","1962","713",163,"AMARPUR","GEN",58836,25003,6620,4,1,"M","INC",12823,"SHITAL PRASAD BHAGAT","H",0.424960908287443,0.264768227812662  
"Bihar","1962","717",164,"DHURAIYA","GEN",70352,32969,2107,5,1,"M","INC",10218,"SAMINUDDIN MAULVI","M",0.468629178985672,0.0639085201249659  
"Bihar","1962","722",165,"BANKA","GEN",67399,28827,1956,3,1,"M","SWA",13448,"BRIJ MOHAN SINGH","H",0.427706642531788,0.0678530544281403  
