Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,UTTAR PRADESH,645,GHAZIPUR,GEN,6,MOHD. MAQSOOD KHAN,INC,2
Lok Sabha,2014,UTTAR PRADESH,665,GHOSI,GEN,5,RASHTRA KUNWAR SINGH,INC,2
Lok Sabha,2014,JHARKHAND,611,GODDA,GEN,2,FURKAN ANSARI,INC,30
Lok Sabha,2014,UTTAR PRADESH,727,GONDA,GEN,4,BENI PRASAD VERMA,INC,12
Lok Sabha,2014,BIHAR,688,GOPALGANJ,SC,2,DR JYOTI BHARTI,INC,21
Lok Sabha,2014,UTTAR PRADESH,718,GORAKHPUR,GEN,4,ASTBHUJA PRASAD TRIPATHI,INC,4
Lok Sabha,2014,KARNATAKA,414,GULBARGA,SC,1,MALLIKARJUN KHARGE,INC,51
Lok Sabha,2014,MADHYA PRADESH,626,GUNA,GEN,1,JYOTIRADITYA MADHAVRAO SCINDIA,INC,53
Lok Sabha,2014,ANDHRA PRADESH,391,GUNTUR,GEN,3,ABDUL WAHEED SHAIK,INC,4
Lok Sabha,2014,PUNJAB,820,GURDASPUR,GEN,2,PARTAP SINGH BAJWA,INC,33
Lok Sabha,2014,HARYANA,762,GURGAON,GEN,3,DHARAMPAL YADAV,INC,10
Lok Sabha,2014,MADHYA PRADESH,668,GWALIOR,GEN,2,ASHOK SINGH,INC,42
Lok Sabha,2014,BIHAR,651,HAJIPUR,SC,2,SANJEEV PRASAD TONI,INC,25
Lok Sabha,2014,HIMACHAL PRADESH,819,HAMIRPUR,GEN,2,RAJINDER SINGH RANA S/O LATE SHRI SUKH RAM,INC,42
Lok Sabha,2014,UTTAR PRADESH,660,HAMIRPUR,GEN,4,PREETAM SINGH LODHI,INC,8
Lok Sabha,2014,UTTAR PRADESH,740,HARDOI,SC,4,SARVESH KUMAR,INC,2
Lok Sabha,2014,UTTARAKHAND,799,HARDWAR,GEN,2,RENUKA RAWAT,INC,35
Lok Sabha,2014,KARNATAKA,365,HASSAN,GEN,2,MANJU. A.,INC,36
Lok Sabha,2014,MAHARASHTRA,404,HATKANANGLE,GEN,2,AWADE KALLAPPA BABURAO,INC,39
Lok Sabha,2014,KARNATAKA,383,HAVERI,GEN,2,SALEEM AZEEZ AHMED,INC,43
Lok Sabha,2014,JHARKHAND,591,HAZARIBAGH,GEN,2,SAURABH NARAIN SINGH,INC,26
Lok Sabha,2014,ANDHRA PRADESH,373,HINDUPUR,GEN,3,GUTTURU CHINNA VENKATARAMUDU,INC,3
Lok Sabha,2014,MAHARASHTRA,460,HINGOLI,GEN,1,RAJEEV SHANKARRAO SATAV,INC,45
