Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,JAMMU & KASHMIR,824,UDHAMPUR,GEN,1,DR. JITENDRA SINGH,BJP,47
Lok Sabha,2014,JAMMU & KASHMIR,825,ANANTNAG,GEN,5,MUSHTAQ AHMAD MALIK,BJP,1
Lok Sabha,2014,JAMMU & KASHMIR,826,SRINAGAR,GEN,5,FAYAZ AHMAD BHAT,BJP,1
Lok Sabha,2014,JAMMU & KASHMIR,827,BARAMULLA,GEN,6,GHULAM MOHAMMAD MIR,BJP,1
Lok Sabha,2014,JAMMU & KASHMIR,177,LADAKH,GEN,1,THUPSTAN CHHEWANG,BJP,26
Lok Sabha,2014,JHARKHAND,590,CHATRA,GEN,1,SUNIL KUMAR SINGH,BJP,41
Lok Sabha,2014,JHARKHAND,601,KODARMA,GEN,1,RAVINDRA KUMAR RAY,BJP,36
Lok Sabha,2014,JHARKHAND,552,KHUNTI,ST,1,KARIYA MUNDA,BJP,37
Lok Sabha,2014,JHARKHAND,564,LOHARDAGA,ST,1,SUDARSHAN BHAGAT,BJP,35
Lok Sabha,2014,JHARKHAND,596,PALAMAU,SC,1,VISHNU DAYAL RAM,BJP,49
Lok Sabha,2014,JHARKHAND,591,HAZARIBAGH,GEN,1,JAYANT SINHA,BJP,42
Lok Sabha,2014,JHARKHAND,621,RAJMAHAL,ST,2,HEMLAL MURMU,BJP,36
Lok Sabha,2014,JHARKHAND,593,DUMKA,ST,2,SUNIL SOREN,BJP,33
Lok Sabha,2014,JHARKHAND,611,GODDA,GEN,1,NISHIKANT DUBEY,BJP,36
Lok Sabha,2014,JHARKHAND,583,GIRIDIH,GEN,1,RAVINDRA KUMAR PANDEY,BJP,40
Lok Sabha,2014,JHARKHAND,576,DHANBAD,GEN,1,PASHUPATI NATH SINGH,BJP,48
Lok Sabha,2014,JHARKHAND,567,RANCHI,GEN,1,RAM TAHAL CHOUDHARY,BJP,43
Lok Sabha,2014,JHARKHAND,541,JAMSHEDPUR,GEN,1,BIDYUT BARAN MAHATO,BJP,44
Lok Sabha,2014,JHARKHAND,536,SINGHBHUM,ST,1,LAXMAN GILUA,BJP,38
Lok Sabha,2014,KARNATAKA,398,CHIKKODI,GEN,2,RAMESH VISHWANATH KATTI,BJP,44
Lok Sabha,2014,KARNATAKA,390,BELGAUM,GEN,1,SURESH ANGADI,BJP,51
Lok Sabha,2014,KARNATAKA,408,BIJAPUR,SC,1,RAMESH JIGAJINAGI,BJP,49
Lok Sabha,2014,KARNATAKA,414,GULBARGA,SC,2,REVASING LOKU,BJP,43
Lok Sabha,2014,KARNATAKA,396,RAICHUR,ST,2,ARAKERA SHIVANAGOUDA NAYAK,BJP,46
Lok Sabha,2014,KARNATAKA,423,BIDAR,GEN,1,BHAGWANT MANN,BJP,48
Lok Sabha,2014,KARNATAKA,387,KOPPAL,GEN,1,SANGANNA A. KARADI,BJP,48
Lok Sabha,2014,KARNATAKA,379,BELLARY,ST,1,B. SREERAMULU,BJP,51
Lok Sabha,2014,KARNATAKA,385,UTTARA KANNADA,GEN,1,ANANTH KUMAR HEGDE,BJP,55
Lok Sabha,2014,KARNATAKA,375,CHITRADURGA,SC,2,JANARDHANA SWAMY,BJP,33
Lok Sabha,2014,KARNATAKA,368,TUMKUR,GEN,2,G.S.BASAVARAJ,BJP,32
Lok Sabha,2014,KARNATAKA,360,BANGALORE RURAL,GEN,2,P. MUNIRAJU,BJP,29
Lok Sabha,2014,KARNATAKA,160,BANGALORE NORTH,GEN,1,D.V. SADANANDA GOWDA,BJP,53
Lok Sabha,2014,KARNATAKA,357,BANGALORE CENTRAL,GEN,1,P.C. MOHAN,BJP,52
Lok Sabha,2014,KARNATAKA,352,BANGALORE SOUTH,GEN,1,ANANTH KUMAR,BJP,57
Lok Sabha,2014,KARNATAKA,369,CHIKKBALLAPUR,GEN,2,B.N. BACHHEGOUDA,BJP,33
Lok Sabha,2014,KARNATAKA,364,KOLAR,SC,3,EM. NARAYANASWAMY,BJP,24
Lok Sabha,2014,KARNATAKA,393,BAGALKOT,GEN,1,P.C. GADDIGOUDAR,BJP,53
Lok Sabha,2014,KARNATAKA,383,HAVERI,GEN,1,UDASI SHIVAKUMAR CHANNABASAPPA,BJP,51
Lok Sabha,2014,KARNATAKA,381,DHARWAD,GEN,1,PRALHAD JOSHI,BJP,52
Lok Sabha,2014,KARNATAKA,374,DAVANAGERE,GEN,1,G.M. SIDDESWARA,BJP,47
Lok Sabha,2014,KARNATAKA,372,SHIMOGA,GEN,1,B.S. YEDDYURAPPA,BJP,54
Lok Sabha,2014,KARNATAKA,367,UDUPI CHIKMAGALUR,GEN,1,SHOBHA KARANDLAJE,BJP,56
Lok Sabha,2014,KARNATAKA,365,HASSAN,GEN,3,C.H. VIJAYASHANKAR,BJP,14
Lok Sabha,2014,KARNATAKA,359,DAKSHINA KANNADA,GEN,1,NALIN KUMAR KATEEL,BJP,53
Lok Sabha,2014,KARNATAKA,353,MANDYA,GEN,3,SHIVALINGAIAH,BJP,7
Lok Sabha,2014,KARNATAKA,348,MYSORE,GEN,1,PRATHAP SIMHA,BJP,43
Lok Sabha,2014,KARNATAKA,345,CHAMARAJANAGAR,SC,2,A.R. KRISHNA MURTHY,BJP,38
Lok Sabha,2014,KERALA,154,KASARAGOD,GEN,3,K. SURENDRAN,BJP,18
Lok Sabha,2014,KERALA,343,KANNUR,GEN,3,P C MOHANAN MASTER,BJP,5
Lok Sabha,2014,KERALA,340,VADAKARA,GEN,3,V.K. SAJEEVA,BJP,8
Lok Sabha,2014,KERALA,338,WAYANAD,GEN,3,P R RASMILNATH,BJP,9
Lok Sabha,2014,KERALA,335,KOZHIKODE,GEN,3,PADMANABHAN .C.K.,BJP,12
Lok Sabha,2014,KERALA,330,MALAPPURAM,GEN,3,ADV. N.SREEPRAKASH,BJP,8
Lok Sabha,2014,KERALA,329,PONNANI,GEN,3,K.NARAYANAN MASTER,BJP,9
Lok Sabha,2014,KERALA,326,PALAKKAD,GEN,3,SMT. SHOBHA SURENDRAN,BJP,15
Lok Sabha,2014,KERALA,321,ALATHUR,SC,3,SHAJUMON VATTEKAD,BJP,9
Lok Sabha,2014,KERALA,319,THRISSUR,GEN,3,K.P. SREESAN,BJP,11
Lok Sabha,2014,KERALA,317,CHALAKUDY,GEN,3,B. GOPALAKRISHNAN,BJP,11
Lok Sabha,2014,KERALA,316,ERNAKULAM,GEN,3,A.N. RADHAKRISHNAN,BJP,12
Lok Sabha,2014,KERALA,312,IDUKKI,GEN,3,SABU VARGHESE,BJP,6
Lok Sabha,2014,KERALA,308,MAVELIKKARA,SC,3,ADV.P. SUDHEER,BJP,9
Lok Sabha,2014,KERALA,306,PATHANAMTHITTA,GEN,3,M.T. RAMESH,BJP,16
Lok Sabha,2014,KERALA,304,KOLLAM,GEN,3,P.M. VELAYUDHAN,BJP,7
Lok Sabha,2014,KERALA,302,ATTINGAL,GEN,3,GIRIJA KUMARY,BJP,11
Lok Sabha,2014,KERALA,301,THIRUVANANTHAPURAM,GEN,2,O RAJAGOPAL,BJP,32
Lok Sabha,2014,LAKSHADWEEP,135,LAKSHADWEEP,ST,5,M.P. SAYED MOHAMMAD KOYA,BJP,0
Lok Sabha,2014,MADHYA PRADESH,133,KHAJURAHO,GEN,1,NAGENDRA SINGH,BJP,55
Lok Sabha,2014,MADHYA PRADESH,609,SATNA,GEN,1,GANESH SINGH,BJP,41
Lok Sabha,2014,MADHYA PRADESH,610,REWA,GEN,1,JANARDAN MISRA,BJP,46
Lok Sabha,2014,MADHYA PRADESH,598,SIDHI,GEN,1,RITI PATHAK,BJP,48
Lok Sabha,2014,MADHYA PRADESH,578,SHAHDOL,ST,1,DALPAT SINGH PARASTE,BJP,54
Lok Sabha,2014,MADHYA PRADESH,562,JABALPUR,GEN,1,RAKESH SINGH ALIAS GHANSHYAM SINGH,BJP,56
Lok Sabha,2014,MADHYA PRADESH,553,MANDLA,ST,1,FAGGAN SINGH KULASTE,BJP,48
Lok Sabha,2014,MADHYA PRADESH,515,BALAGHAT,GEN,1,BODH SINGH BHAGAT,BJP,44
Lok Sabha,2014,MADHYA PRADESH,533,CHHINDWARA,GEN,2,CHANDRABHAN SINGH CHOUDHARY,BJP,40
Lok Sabha,2014,MADHYA PRADESH,551,HOSHANGABAD,GEN,1,UDAY PRATAP SINGH,BJP,65
Lok Sabha,2014,MADHYA PRADESH,572,VIDISHA,GEN,1,SUSHMA SWARAJ,BJP,67
Lok Sabha,2014,MADHYA PRADESH,570,BHOPAL,GEN,1,ALOK SANJAR,BJP,63
Lok Sabha,2014,MADHYA PRADESH,519,BETUL,ST,1,JYOTI DHURVE,BJP,61
Lok Sabha,2014,MADHYA PRADESH,698,MORENA,GEN,1,ANOOP MISHRA,BJP,44
Lok Sabha,2014,MADHYA PRADESH,695,BHIND,SC,1,BHAGIRAT PRASAD,BJP,55
Lok Sabha,2014,MADHYA PRADESH,668,GWALIOR,GEN,1,NARENDRA SIGH TOMAR,BJP,45
Lok Sabha,2014,MADHYA PRADESH,626,GUNA,GEN,2,JAIBHANSINGH PAWAIYA,BJP,41
Lok Sabha,2014,MADHYA PRADESH,586,SAGAR,GEN,1,LAXMI NARAYAN YADAV,BJP,54
Lok Sabha,2014,MADHYA PRADESH,630,TIKAMGARH,SC,1,DR. VIRENDRA KUMAR,BJP,55
Lok Sabha,2014,MADHYA PRADESH,600,DAMOH,GEN,1,PRAHLAD SINGH PATEL,BJP,56
Lok Sabha,2014,MADHYA PRADESH,594,RAJGARH,GEN,1,RODMAL NAGAR,BJP,59
Lok Sabha,2014,MADHYA PRADESH,575,DEWAS,SC,1,MANOHAR UNTWAL,BJP,58
Lok Sabha,2014,MADHYA PRADESH,573,UJJAIN,SC,1,CHINTAMANI MALVIYA,BJP,63
Lok Sabha,2014,MADHYA PRADESH,603,MANDSOUR,GEN,1,SUDHIR GUPTA,BJP,60
Lok Sabha,2014,MADHYA PRADESH,561,RATLAM,ST,1,DILEEP SINGH BHURIA,BJP,50
Lok Sabha,2014,MADHYA PRADESH,545,DHAR,ST,1,SAVITRI THAKUR,BJP,52
Lok Sabha,2014,MADHYA PRADESH,544,INDORE,GEN,1,SUMITRA MAHAJAN,BJP,65
Lok Sabha,2014,MADHYA PRADESH,511,KHARGONE,ST,1,SUBHASH PATEL,BJP,56
Lok Sabha,2014,MADHYA PRADESH,529,KHANDWA,GEN,1,NANDKUMAR SINGH CHOUHAN,BJP,57
Lok Sabha,2014,MAHARASHTRA,483,AKOLA,GEN,1,DHOTRE SANJAY SHAMRAO,BJP,47
Lok Sabha,2014,MAHARASHTRA,492,WARDHA,GEN,1,RAMDAS CHANDRABHANJI TADAS,BJP,53
Lok Sabha,2014,MAHARASHTRA,480,NAGPUR,GEN,1,NITIN JAIRAM GADKARI,BJP,54
Lok Sabha,2014,MAHARASHTRA,493,BHANDARA-GONDIYA,GEN,1,NANABHAU FALGUNRAO PATOLE,BJP,51
Lok Sabha,2014,MAHARASHTRA,489,GADCHIROLI-CHIMUR,ST,1,ASHOK MAHADEORAO NETE,BJP,52
Lok Sabha,2014,MAHARASHTRA,468,CHANDRAPUR,GEN,1,AHIR HANSARAJ GANGARAM,BJP,46
Lok Sabha,2014,MAHARASHTRA,448,NANDED,GEN,2,DIGAMBAR BAPUJI (PATIL) PAWAR,BJP,41
Lok Sabha,2014,MAHARASHTRA,501,NANDURBAR,ST,1,DR. GAVIT HEENA VAIJAYKUMAR,BJP,52
Lok Sabha,2014,MAHARASHTRA,486,DHULE,GEN,1,SUBHASH RAMRAO BHAMRE,BJP,54
Lok Sabha,2014,MAHARASHTRA,482,JALGAON,GEN,1,ASHOK TAPIRAM PATIL,BJP,65
Lok Sabha,2014,MAHARASHTRA,485,RAVER,GEN,1,KHADASE RAKSHA NIKHIL,BJP,60
Lok Sabha,2014,MAHARASHTRA,470,JALNA,GEN,1,DANVE RAOSAHEB DADARAO PATIL,BJP,55
Lok Sabha,2014,MAHARASHTRA,473,DINDORI,ST,1,CHAVAN HARISHCHANDRA DEORAM,BJP,56
Lok Sabha,2014,MAHARASHTRA,426,PUNE,GEN,1,ANIL SHIROLE,BJP,57
Lok Sabha,2014,MAHARASHTRA,451,AHMEDNAGAR,GEN,1,GANDHI DILIPKUMAR MANSUKHLAL,BJP,57
Lok Sabha,2014,MAHARASHTRA,450,BEED,GEN,1,MUNDE GOPINATHRAO PANDURANG,BJP,52
Lok Sabha,2014,MAHARASHTRA,438,LATUR,SC,1,GAIKWAD SUNIL BALIRAM,BJP,58
Lok Sabha,2014,MAHARASHTRA,417,SOLAPUR,SC,1,SHARADKUMAR MARUTI BANSODE,BJP,54
Lok Sabha,2014,MAHARASHTRA,412,SANGLI,GEN,1,SANJAYKAKA PATIL,BJP,58
Lok Sabha,2014,MAHARASHTRA,464,PALGHAR,ST,1,WANAGA CHINTAMAN NAVASHA,BJP,54
Lok Sabha,2014,MAHARASHTRA,453,BHIWANDI,GEN,1,KAPIL MORESHWAR PATIL,BJP,47
Lok Sabha,2014,MAHARASHTRA,444,MUMBAI NORTH,GEN,1,GOPAL CHINAYYA SHETTY,BJP,70
Lok Sabha,2014,MAHARASHTRA,443,MUMBAI NORTH EAST,GEN,1,KIRIT SOMAIYA,BJP,61
Lok Sabha,2014,MAHARASHTRA,437,MUMBAI NORTH CENTRAL,GEN,1,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,BJP,57
Lok Sabha,2014,MANIPUR,635,OUTER MANIPUR,ST,3,GANGMUMEI KAMEI,BJP,10
Lok Sabha,2014,MANIPUR,604,INNER MANIPUR,GEN,3,RAJKUMAR RANJAN SINGH,BJP,14
Lok Sabha,2014,MEGHALAYA,658,SHILLONG,ST,4,SHIBUN LYNGDOH,BJP,15
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,771,CHANDNI CHOWK,GEN,1,DR. HARSH VARDHAN,BJP,45
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,168,NORTH EAST DELHI,GEN,1,MANOJ TIWARI,BJP,45
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,768,EAST DELHI,GEN,1,MAHESH GIRI,BJP,48
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,766,NEW DELHI,GEN,1,MEENAKSHI LEKHI,BJP,47
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,775,NORTH WEST DELHI,SC,1,UDIT RAJ,BJP,46
